Instance,Algorithm,1. Max Cost,2. Sum Costs,3. Imbalance,4. Conv Gen,5. Time (s),6. Valid Ratio,7. Diversity,Ratio
burma14,Standard GA (0%),4083.00,7945.00,221.00,63,0.14,1.0,0.0371,1.23
burma14,Partial Memetic (20%),3834.00,7555.00,113.00,52,0.29,1.0,0.0414,1.15
burma14,Full Memetic (100%),3778.00,7555.00,1.00,38,0.78,1.0,0.0243,1.14
gr17,Standard GA (0%),2805.00,5408.00,202.00,89,0.14,1.0,0.0288,1.35
gr17,Partial Memetic (20%),2495.00,4933.00,57.00,23,0.35,1.0,0.0359,1.20
gr17,Full Memetic (100%),2460.00,4915.00,5.00,27,0.88,1.0,0.0282,1.18
gr24,Standard GA (0%),1933.00,3701.00,165.00,94,0.16,1.0,0.0296,1.52
gr24,Partial Memetic (20%),1598.00,3181.00,15.00,66,0.59,1.0,0.0300,1.26
gr24,Full Memetic (100%),1582.00,3156.00,8.00,44,2.18,1.0,0.0246,1.24
fri26,Standard GA (0%),1425.00,2833.00,17.00,100,0.18,1.0,0.0435,1.52
fri26,Partial Memetic (20%),1117.00,2233.00,1.00,63,0.65,1.0,0.0323,1.19
fri26,Full Memetic (100%),1120.00,2227.00,13.00,44,2.01,1.0,0.0250,1.20
bayg29,Standard GA (0%),2455.00,4661.00,249.00,100,0.20,1.0,0.0397,1.52
bayg29,Partial Memetic (20%),1979.00,3812.00,146.00,76,0.84,1.0,0.0276,1.23
bayg29,Full Memetic (100%),1911.00,3799.00,23.00,38,4.01,1.0,0.0279,1.19
dantzig42,Standard GA (0%),1453.00,2828.00,78.00,97,0.27,1.0,0.0450,2.08
dantzig42,Partial Memetic (20%),911.00,1762.00,60.00,57,1.52,1.0,0.0288,1.30
dantzig42,Full Memetic (100%),887.00,1767.00,7.00,97,9.29,1.0,0.0298,1.27
att48,Standard GA (0%),78157.94,153577.57,2738.30,99,0.34,1.0,0.0394,7.35
att48,Partial Memetic (20%),39151.52,78052.13,250.92,78,4.84,1.0,0.0260,3.68
att48,Full Memetic (100%),39287.01,78465.98,108.03,57,10.84,1.0,0.0265,3.70
eil51,Standard GA (0%),940.57,1858.40,22.75,100,0.33,1.0,0.0290,2.21
eil51,Partial Memetic (20%),511.37,1018.89,3.86,79,3.62,1.0,0.0241,1.20
eil51,Full Memetic (100%),496.61,992.94,0.28,64,13.92,1.0,0.0235,1.17
berlin52,Standard GA (0%),16024.43,31700.75,348.12,99,0.32,1.0,0.0429,2.12
berlin52,Partial Memetic (20%),9445.14,18732.43,157.84,98,3.66,1.0,0.0419,1.25
berlin52,Full Memetic (100%),9262.65,18505.67,19.63,99,20.35,1.0,0.0294,1.23
eil76,Standard GA (0%),1580.29,3088.16,72.41,100,0.51,1.0,0.0583,2.94
eil76,Partial Memetic (20%),654.25,1303.99,4.51,91,26.56,1.0,0.0247,1.22
eil76,Full Memetic (100%),644.68,1288.51,0.85,98,102.58,1.0,0.0308,1.20
